Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,BA,0,0,0,0,,,,,,,,,,-7.34,-7.42,-1.92,,60760000000.0,107.34,-29.2,4760000000.0,-2210000000.0,-4460000000.0,-7.89,,27120000000.0,48.03,60960000000.0,,1.42,-20.94,-16620000000.000002,-14470000000.0,1.66,201.57,179.9,23100000.0,564530000.0,533049999.99999994,0.12,52.94,11910000.0,0.46,2.11,11080000.0
0,0,FLR,0,0,0,0,,,,,,,,,,-4.22,-1.18,-1.31,-42.91,13450000000.0,95.82,-17.8,-427380000.0,-50960000.0,-623070000.0,-4.04,,2109999999.9999998,15.0,1720000000.0,131.6,1.41,8.03,296360000.0,190210000.0,2.89,15.51,12.19,2260000.0,140720000.0,118330000.0,2.06,77.62,6520000.0,3.16,5.19,6680000.0
0,0,HCBK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TWC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,IFF,0,0,0,0,,,,,,,,,,7.44,14.74,3.6,6.16,5100000000.0,45.47,0.1,2120000000.0,1080000000.0,379460000.0,3.34,-33.3,469840000.0,4.39,4330000000.0,69.98,1.82,56.84,730960000.0,668560000.0,0.99,111.21,120.36,1280000.0,106940000.0,82490000.0,0.28,98.47,18470000.0,13.76,26.86,17480000.0
0,0,MDT,0,0,0,0,150710000000.0,166440000000.0,42.9,28.09,3.45,5.43,3.0,5.97,25.5,13.3,14.63,2.73,7.35,27870000000.0,20.77,-0.8,19640000000.0,6560000000.0,3710000000.0,2.74,-64.1,14280000000.0,10.61,30010000000.0,59.64,2.16,37.28,6000000000.0,5380000000.0,0.7,110.51,102.95,4590000.0,1350000000.0,1340000000.0,0.06,83.44,6820000.0,1.41,0.51,7260000.0
0,0,UNM,0,0,0,0,4570000000.0,7850000000.0,4.82,4.27,,0.38,0.42,0.66,,8.0,11.81,1.29,9.29,11920000000.0,58.43,1.2,3430000000.0,1520000000.0,953800000.0,4.67,-4.5,2190000000.0,10.76,3380000000.0,31.02,10.53,53.5,1760000000.0,197350000.0,1.77,21.55,18.71,2500000.0,203660000.0,202650000.0,0.78,91.72,6930000.0,2.49,3.9,7420000.0
0,0,DFS,0,0,0,0,26810000000.0,,26.83,12.67,0.15,2.4,2.92,,,18.2,25.98,0.89,9.56,5770000000.0,18.73,-6.5,7820000000.0,,1010000000.0,3.28,0.1,9510000000.0,31.04,32540000000.0,317.43,1.05,30.0,6030000000.0,,1.77,77.3,60.44,2920000.0,306500000.0,304980000.0,0.54,88.82,6590000.0,2.33,2.16,8560000.0
0,0,CTL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,PNC,0,0,0,0,,,,,,,,,,59.59,27.88,0.81,6.84,14350000000.0,33.4,4.2,17050000000.0,,3200000000.0,16.63,7.0,13160000000.0,31.05,42650000000.0,,,117.36,5840000000.0,,1.35,131.81,115.13,2280000.0,423700000.0,420960000.0,0.24,83.02,5400000.0,1.88,1.28,4730000.0
